type	x	y	z	tag	br
DCP	-326	6046.5	34	2	1
DCP	-308	6087.5	34	2	1
DCP	-333	6115.5	34	2	1
DCP	-360	6104.5	34	2	1
DCP	-260	6113.5	38.5	2	1
DCP	-180	6049.5	38.5	2	1
DCP	-160	6126.5	38.5	2	1
DCP	-160	6167.5	38.5	2	1
DCP	-230	6150.5	38.5	2	1
DCP	-243	6186.5	38.5	2	1
DCP	-309	6179.5	38.5	2	1
DCP	-323	6176.5	38.5	2	1
DCP	-171	6223.5	41	2	1
DCP	-194	6260.5	41	2	1
DCP	-204	6252.5	41	2	1
DCP	-204	6252.5	41	2	1
DCP	-269	6248.5	41	2	1
DCP	-265	6311.5	41	2	1
DCP	-337	6281.5	45.5	2	1
DCP	-314	6344.5	45.5	2	1
DCP	-177	6333.5	40.5	2	1
DCP	-273	6383	1	2	1
DCP	-158	6476	3.5	2	1
DCP	-139	6463	3.5	2	1
DCP	-292	6467	3.5	2	1
DCP	-311	6523	3.5	2	1
DCP	-371	6521	7	2	1
DCP	-268	6557	7	2	1
DCP	-233	6550	7	2	1
DCP	-201	6529	7	2	1
DCP	-176	6479	7	2	1
DCP	-212	6623.5	7	2	1
DCP	-153	6609.5	7	2	1
DCP	-147	6623.5	7	2	1
DCP	-324	6595.5	7	2	1
DCP	-251	6646.5	7	2	1
DCP	-292	6665.5	7	2	1
DCP	-316	6749.5	7	2	1
DCP	-250	6735.5	7	2	1
DCP	-237	6758.5	7	2	1
DCP	-193	6793.5	4.5	2	1
DCP	-131	6756.5	4.5	2	1
DCP	-244	6810.5	7	2	1
DCP	-266	6804.5	7	2	1
DCP	-242	6867	12	2	1
DCP	-318	6916	10.5	2	1
DCP	-346	6940	10.5	2	1
DCP	-313	6994	10.5	2	1
DCP	-337	7014	10.5	2	1
DCP	-321	7044	8.5	2	1
DCP	-254	6989	8.5	2	1
DCP	-239	6914	8.5	2	1
DCP	-174	6898	8.5	2	1
DCP	-142	6922	8.5	2	1
DCP	-178	6957	8.5	2	1
DCP	-197	6977	8.5	2	1
DCP	-200	7055	8.5	2	1
DCP	-220	7074	8.5	2	1
DCP	-172	7046	4	2	1
DCP	-133	7062	4	2	1
DCP	-152	7098	1.5	2	1
DCP	-167	7140	1.5	2	1
DCP	-187	7178	1.5	2	1
DCP	-289	7132	1.5	2	1
DCP	-343	7125	1.5	2	1
DCP	-313	7196	5	2	1
DCP	-353	7188	5	2	1
DCP	-212	7222	5	2	1
DCP	-176	7245	1.5	2	1
DCP	-182	7268	1.5	2	1
DCP	-277	7262	1.5	2	1
DCP	-344	7298	1.5	2	1
DCP	-211	7311	1.5	2	1
DCP	-301	7334	-1.5	2	1
DCP	-176	7436	-10.5	2	1
DCP	-149	7365	-10.5	2	1
DCP	-133	7369	-10.5	2	1
DCP	-143	7457	-10	2	1
DCP	-164	7507	-10	2	1
DCP	-268	7457	-10	2	1
DCP	-268	7429	-10	2	1
DCP	-297	7385	2	2	1
DCP	-354	7405	2	2	1
DCP	-346	7370	6	2	1
DCP	-334	7497	-4.5	2	1
DCP	-300	7537	-4.5	2	1
DCP	-244	7536	-4.5	2	1
DCP	-332	7566	-4.5	2	1
DCP	-167	7568	-4.5	2	1
DCP	-134	7541	-4.5	2	1
DCP	-174	7576	-10.5	2	1
DCP	-135	7620	-10.5	2	1
DCP	-215	7624	-10.5	2	1
DCP	-251	7586	-10.5	2	1
DCP	-208	7683	-10.5	2	1
DCP	-312	7667	-5	2	1
DCP	-298	7712	-5	2	1
DCP	-359	7669	-5	2	1
DCP	-366	7631	-5	2	1
DCP	-354	7781	-1	2	1
DCP	-345	7773	-1	2	1
DCP	-293	7791	-1	2	1
DCP	-157	7782	-2.5	2	1
DCP	-139	7742	-2.5	2	1
DCP	-179	7845.5	0.5	2	1
DCP	-165	7854.5	0.5	2	1
DCP	-128	7870.5	0.5	2	1
DCP	-165	7955.5	0.5	2	1
DCP	-208	7927.5	1.5	2	1
DCP	-258	7872.5	1.5	2	1
DCP	-288	7837.5	1.5	2	1
DCP	-331	7879.5	6.5	2	1
DCP	-338	7922.5	6	2	1
DCP	-313	7959.5	6	2	1
DCP	-299	7952.5	6	2	1
DCP	-243	7987.5	11.5	2	1
DCP	-319	8030.5	6.5	2	1
DCP	-205	8030.5	6.5	2	1
DCP	-156	8051.5	6.5	2	1
DCP	-275	8068	5	2	1
DCP	-334	8087	1.5	2	1
DCP	-249	8106	1.5	2	1
